"url","count"
"www.youtube.com/watch",905
"www.youtube.com/howyoutubeworks",56
"www.youtube.com/creators",56
"www.youtube.com/ads",55
"www.youtube.com/about",54
"www.youtube.com/t/terms",41
"www.youtube.com/jobs",39
"www.youtube.com/trends",39
"www.youtube.com/kids",39
"www.youtube.com/musicpremium",39
"www.youtube.com/channel/ucqvdpxklmkebu_yyt_qkitq",39
"www.youtube.com/premium",39
"www.youtube.com/yt/family",39
"www.youtube.com/nextup",39
"www.youtube.com/creators-for-change",39
"www.youtube.com/ads/youtube-select",38
"www.youtube.com/creatorresearch",38
"www.youtube.com/csai-match",38
"www.youtube.com/about/copyright",36
"www.youtube.com/about/policies",36
"www.youtube.com/creators/podcasts",34
"www.youtube.com",24
"www.youtube.com/about/brand-resources",20
"www.youtube.com/about/press",16
"www.youtube.com/t/community_guidelines",10
"www.youtube.com/feed/trending",8
"www.youtube.com/go/family/static/pdfs/creating-for-youtube-kids-fieldguide.pdf",7
"www.youtube.com/t/terms_paidservice",7
"www.youtube.com/howyoutubeworks/policies/community-guidelines",6
"www.youtube.com/channel/ucgg-uqjrgzhydpjmr-9hxcg",5
"www.youtube.com/t/usage_paycontent",5
"www.youtube.com/copyright_complaint_form",4
"www.youtube.com/c/youtubecreatorsindia",4
"www.youtube.com/t/policy_cns",4
"www.youtube.com/t/copyright_notice",4
"www.youtube.com/t/terms_dataprocessing",4
"www.youtube.com/howyoutubeworks/resources/brand-resources",4
"www.youtube.com/howyoutubeworks/policies/overview",3
"www.youtube.com/howyoutubeworks/policies/monetization-policies",3
"www.youtube.com/c/baileysarian",2
"www.youtube.com/t/privacy",2
"www.youtube.com/t/copyright_center",2
"www.youtube.com/user/youtube",1
"www.youtube.com/intl/en_us/creators/how-things-work/video-monetization",1
"www.youtube.com/howyoutubeworks/policies/copyright",1
"www.youtube.com/feed/history/search_history",1
"www.youtube.com/feed/history",1
"www.youtube.com/account",1
"www.youtube.com/purchases",1
"www.youtube.com/t/policies",1
"www.youtube.com/podcasts",1
"www.youtube.com/user/creatoracademy",1
"www.youtube.com/user/youtubehelp",1
"www.youtube.com/@youtubeliaison",1
"www.youtube.com/space",1
